us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes
2553932971,3003,28,12.3333,21.8854,44.17850000000001,36.72905,50.83324,29764,9.2739,0.1186
2553986955,3119,184,31.4375,60.1011,44.86096666666666,37.240899999999996,33.182939999999995,29648,-10.0410,-2.1478
2554042949,2885,89,32.4157,29882,1.7183,1.3066
2554096954,1393,180,14.3807,14.3807,14.3807,18.88945,16.65934,29906,-2.6600,-0.4720
2554314954,2596,281,14.3807,14.3807,20.392366666666664,23.3982,20.56624,30171,3.2909,-1.9694
2554422955,2268,134,14.3807,23.3982,26.40403333333333,27.90695,25.71064,30499,2.8038,0.5281
2554478759,2218,106,32.4157,32.4157,32.4157,32.4157,30.11746,30549,0.3701,-0.2252
2554533427,2197,1027,32.4157,32.4157,32.4157,32.4157,26.3604,30570,-1.9839,-0.2486
2554586952,2011,122,32.4157,32.4157,32.4157,32.4157,29.22928,30756,1.5938,0.3975
2554752958,2002,121,32.4157,32.4157,32.4157,32.4157,29.241660000000003,30765,2.4044,0.0425
2554862955,2227,122,32.4157,32.4157,32.4157,32.4157,29.58338,30540,3.0699,0.6611
2555024959,2485,213,32.4157,32.4157,32.4157,32.4157,28.2659,30282,5.8944,0.8230
2555134956,2522,177,32.4157,32.4157,32.4157,32.4157,28.782280000000004,30245,2.5407,0.5326
2555242955,2469,205,32.4157,32.4157,32.4157,32.4157,28.341340000000002,30298,2.0836,0.4979
2555351958,2116,52,40.6923,30651,20.4012,4.0546
2555407962,2525,41,32.4157,32.4157,32.4157,34.48485,39.90496,30242,2.2717,-1.9712
2555461957,2743,211,32.4157,32.4157,35.17456666666667,36.554,31.843200000000003,30024,-5.3984,-0.8522
2555515949,2410,118,32.4157,36.554,37.93343333333333,38.62315,34.98326,30357,0.8201,0.6870
2555626955,3259,93,35.0430,29508,7.1681,1.4123
2555681955,3677,22,40.6923,40.6923,40.6923,39.279975,64.85126,29090,14.6754,0.8341
2555792957,5134,48,40.6923,40.6923,38.809200000000004,37.867650000000005,51.68578,27633,13.1956,3.6750
2555900957,5231,56,40.6923,37.86765,36.9261,36.455325,47.8464,27536,23.1284,5.3066
2555954958,4886,166,29.4337,27881,-7.1078,-3.3592
2556065964,6861,232,29.5733,25906,3.8138,0.7749
2556120958,6178,151,40.9139,26589,1.1341,-0.2680
2556228953,4451,539,35.043,32.23835,31.349999999999998,33.740975,28.64436,28316,7.6212,2.0966
2556283954,1858,577,29.4337,29.503500000000003,33.30696666666667,35.2087,28.81098,30909,-0.5597,-0.9089
