model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_2_BAG_L1,-10.30325982005704,-7.980453765489506,mean_absolute_error,0.21439313888549805,0.4290022850036621,229.04523372650146,0.21439313888549805,0.4290022850036621,229.04523372650146,1,True,4
XGBoost_BAG_L1,-10.458049355206501,-7.67645335390476,mean_absolute_error,0.6582682132720947,1.2440354824066162,42.54523277282715,0.6582682132720947,1.2440354824066162,42.54523277282715,1,True,5
CatBoost_BAG_L1,-10.547172459994881,-7.989938231521543,mean_absolute_error,0.4525723457336426,0.47185850143432617,1163.0934813022614,0.4525723457336426,0.47185850143432617,1163.0934813022614,1,True,3
CatBoost_2_BAG_L2,-10.610806650886492,-7.47805123550776,mean_absolute_error,20.136707305908203,28.970341444015503,1813.0028309822083,0.09332013130187988,0.10849452018737793,51.136550188064575,2,True,10
LightGBM_2_BAG_L2,-10.727793940168912,-7.5790875238006254,mean_absolute_error,21.472564458847046,31.268439054489136,1809.5324540138245,1.4291772842407227,2.4065921306610107,47.666173219680786,2,True,8
CatBoost_BAG_L2,-10.742579247298229,-7.499426726080757,mean_absolute_error,20.16408348083496,29.044174432754517,1885.9499311447144,0.1206963062286377,0.1823275089263916,124.08365035057068,2,True,9
LightGBM_BAG_L2,-10.78824488393596,-7.376688333555769,mean_absolute_error,20.260792016983032,29.271074056625366,1784.9010426998138,0.21740484237670898,0.4092271327972412,23.034761905670166,2,True,7
XGBoost_BAG_L2,-10.865572778974819,-7.399342430591552,mean_absolute_error,20.463669538497925,29.45812463760376,1788.2717788219452,0.42028236389160156,0.5962777137756348,26.405498027801514,2,True,11
LightGBM_BAG_L1,-10.90268656998105,-7.397089697680019,mean_absolute_error,7.998730897903442,11.872360944747925,140.07413053512573,7.998730897903442,11.872360944747925,140.07413053512573,1,True,1
WeightedEnsemble_L2,-10.920275340761457,-7.148426143604553,mean_absolute_error,18.720303058624268,26.718990087509155,327.32326006889343,0.0021495819091796875,0.0020394325256347656,0.14092707633972168,2,True,6
WeightedEnsemble_L3,-10.920275340761457,-7.148426143604553,mean_absolute_error,18.720453023910522,26.718098640441895,327.3702783584595,0.0022995471954345703,0.0011479854583740234,0.18794536590576172,3,True,13
NeuralNetTorch_BAG_L2,-10.943118139675684,-8.90279359261705,mean_absolute_error,21.16986846923828,30.159461498260498,1890.2419276237488,1.126481294631958,1.297614574432373,128.3756468296051,2,True,12
LightGBM_2_BAG_L1,-10.99991968948333,-7.175426014756351,mean_absolute_error,10.719422578811646,14.844589710235596,187.10820245742798,10.719422578811646,14.844589710235596,187.10820245742798,1,True,2
