model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_2_BAG_L1,-10.002155284859258,-8.060821438278108,mean_absolute_error,0.22607135772705078,0.3162202835083008,227.4727077484131,0.22607135772705078,0.3162202835083008,227.4727077484131,1,True,4
LightGBM_2_BAG_L2,-10.246766079868031,-7.711911044851889,mean_absolute_error,24.745033502578735,33.86575174331665,1805.1773552894592,1.3308935165405273,2.213087320327759,44.66329312324524,2,True,8
CatBoost_BAG_L2,-10.284152575650316,-7.681512770328446,mean_absolute_error,23.551141500473022,31.77172827720642,1893.6158735752106,0.13700151443481445,0.1190638542175293,133.10181140899658,2,True,9
XGBoost_BAG_L1,-10.308347685471073,-7.955039548610771,mean_absolute_error,0.6345188617706299,0.9808790683746338,42.028045892715454,0.6345188617706299,0.9808790683746338,42.028045892715454,1,True,5
CatBoost_2_BAG_L2,-10.3153231607388,-7.666378393455676,mean_absolute_error,23.51523995399475,31.748167276382446,1818.8191423416138,0.10109996795654297,0.09550285339355469,58.30508017539978,2,True,10
LightGBM_BAG_L1,-10.37501032843802,-7.632194279663208,mean_absolute_error,9.409609317779541,12.479771137237549,148.2681884765625,9.409609317779541,12.479771137237549,148.2681884765625,1,True,1
CatBoost_BAG_L1,-10.400260452154928,-8.015290444143185,mean_absolute_error,0.4781076908111572,0.554053544998169,1156.1274724006653,0.4781076908111572,0.554053544998169,1156.1274724006653,1,True,3
WeightedEnsemble_L3,-10.420882737161962,-7.3361903351180775,mean_absolute_error,22.077767372131348,29.802675247192383,335.0875098705292,0.002325296401977539,0.0011637210845947266,0.2016737461090088,3,True,13
WeightedEnsemble_L2,-10.420882737161962,-7.3361903351180775,mean_absolute_error,22.078229427337646,29.802826166152954,335.0161054134369,0.002787351608276367,0.0013146400451660156,0.13026928901672363,2,True,6
LightGBM_BAG_L2,-10.451719377554552,-7.562400190262745,mean_absolute_error,23.664801359176636,32.11026692390442,1784.2349445819855,0.25066137313842773,0.45760250091552734,23.720882415771484,2,True,7
XGBoost_BAG_L2,-10.478444445328634,-7.580720054848136,mean_absolute_error,23.761886835098267,32.110448360443115,1787.6852691173553,0.3477468490600586,0.45778393745422363,27.171206951141357,2,True,11
LightGBM_2_BAG_L1,-10.517411230654572,-7.353501060302295,mean_absolute_error,12.665832757949829,17.32174038887024,186.61764764785767,12.665832757949829,17.32174038887024,186.61764764785767,1,True,2
NeuralNetTorch_BAG_L2,-10.984168925483557,-8.849412210783449,mean_absolute_error,24.539938926696777,32.95572757720947,1891.1160244941711,1.1257989406585693,1.303063154220581,130.60196232795715,2,True,12
