window_start_ts,window_end_ts,session_id,class_th,label,source,class_en,category,svm_mean,svm_std,svm_max,svm_min,svm_dev_mean,jerk_mean,jerk_std,jerk_max,jerk_min,jerk_energy,jerk_sparsity,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,free_fall_n,impact_n,high_rot_n,GSI,fcri,angular_impulse,press_delta,press_slope,mic_p2p_max,mic_p2p_mean,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean
2026-05-28T00:03:43.781,2026-05-28T00:03:45.722,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.0132137954859535,0.06172766508583278,1.2495599225327292,0.880056816347672,0.04289091760954175,2.440122633564372,3.0652571724354334,11.385956261992225,0.0,30.699999999999996,0.25,0.04289091760954175,0.046317148171113064,0.24955992253272918,0.00044989879553702927,16.212780956352066,11.225550483666614,63.832123574263136,3.3541019662496847,78.19055473153574,5.373475676310951,86.09068920369137,59.00819666284483,27.082492540846538,0,0,0,3.9179076048319463,1.422743462469605,32.42556191270413,0.001999999999995339,0.0007767354596635365,774.0,372.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:44.272,2026-05-28T00:03:46.222,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.007571302324752,0.06883001330526724,1.2495599225327292,0.8277680834629951,0.04821130210739173,2.9670362486902713,3.093169232188559,11.385956261992225,0.0,36.74199999999999,0.25,0.04821130210739173,0.04970478547993006,0.24955992253272918,0.00044989879553702927,21.612951974467215,13.39988085579024,66.78809774203783,4.016217125604641,77.42832820620751,5.225168247759132,86.09068920369137,59.00819666284483,27.082492540846538,0,0,0,4.286140455001445,1.422743462469605,43.22590394893443,-0.006000000000000227,-0.0004240150093725376,833.0,446.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:44.771,2026-05-28T00:03:46.721,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.0071113841702335,0.07147838746583907,1.2495599225327292,0.8277680834629951,0.053267691024225794,3.396007746947352,3.327330969812526,11.385956261992225,0.0,45.208,0.25,0.053267691024225794,0.04819008977456757,0.24955992253272918,0.001049449328053953,19.85022502731058,14.114064487777174,66.78809774203783,4.016217125604641,76.36052862044855,5.414856919486653,86.09068920369137,59.00819666284483,27.082492540846538,0,0,0,4.754366414150259,1.422743462469605,39.70045005462116,-0.001999999999995339,-0.0013771106942201173,1100.0,479.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:45.271,2026-05-28T00:03:47.221,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.0128243067504985,0.09031568886617743,1.3943457247038842,0.8277680834629951,0.05646039277244275,3.3062058660505755,3.4115982722607834,12.14248738932843,0.0,45.13999999999999,0.225,0.05646039277244275,0.07164921874650514,0.3943457247038842,0.001049449328053953,21.191673590220923,12.7571830921067,66.78809774203783,4.016217125604641,79.31343583100184,5.054861855030638,88.85113179055679,68.04259288078391,20.808538909772878,0,0,0,4.750789408087881,1.6930825378580923,42.383347180441845,-0.003999999999990678,-0.0012288930581572236,1100.0,556.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:45.776,2026-05-28T00:03:47.722,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.0152616608795195,0.08234840586289004,1.3943457247038842,0.8277680834629951,0.0509623918825316,3.290587263670718,3.2612935256072944,12.14248738932843,0.0,42.92799999999999,0.225,0.0509623918825316,0.06646061130152207,0.3943457247038842,0.0025031328369998773,22.01084778839229,12.438552151927743,66.78809774203783,5.435071296680476,79.08357872901834,5.533651177918624,88.85113179055679,68.04259288078391,20.808538909772878,0,0,0,4.6329256415358095,1.6930825378580923,44.02169557678458,0.0,0.0006885553471138746,1100.0,603.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:46.272,2026-05-28T00:03:48.221,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.0222612477244046,0.1071888119205706,1.4269898387865274,0.8807950953541919,0.06756515249398265,3.63653439736582,3.426604379962065,12.304470732217618,0.0,49.931999999999995,0.225,0.06756515249398265,0.08613915903731378,0.4269898387865274,0.0025031328369998773,21.997150526635444,11.725969840850787,51.848240085850556,5.435071296680476,78.60406766156157,5.3507075353228055,88.85113179055679,68.04259288078391,20.808538909772878,0,0,0,4.996598843213251,1.7558354706520762,43.99430105327089,-0.001999999999995339,0.00011444652909792427,1100.0,581.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:46.772,2026-05-28T00:03:48.721,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,0.9922235673643869,0.13568305851022752,1.4269898387865274,0.655133574166368,0.09106241709367416,4.0884993315927565,3.275694310457797,12.304470732217618,0.0,54.891999999999996,0.25,0.09106241709367416,0.10088608161824787,0.4269898387865274,0.0025031328369998773,28.290386724914498,13.12325298677053,56.402216268512,5.435071296680476,80.66668495830011,5.080104512414099,88.85113179055679,71.06200004771212,17.789131742844674,0,0,0,5.238893012841548,1.7558354706520762,56.580773449828996,0.005000000000009663,0.0008067542213923207,920.0,510.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:47.273,2026-05-28T00:03:49.220,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.000277931939935,0.33303011706746033,2.537557881113256,0.46626172907499064,0.17742071894918898,5.978754879437252,7.254204993767769,40.56500955256882,0.0,176.73799999999997,0.25,0.17742071894918898,0.2818351018018913,1.5375578811132562,0.005364388331083325,51.82414512476371,54.07627235754541,237.65803163369003,5.435071296680476,77.87574643763337,8.173085601672664,86.99930151477817,41.353167869873424,45.646133644904744,1,1,5,9.400478711214657,10.293605968755553,103.64829024952742,0.006999999999990791,0.0022514071294981253,2253.0,541.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:47.773,2026-05-28T00:03:49.522,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.1284773833904507,0.5521673615637218,2.7323616158920108,0.4589117562233506,0.3457861161684935,9.359981568545502,9.760445716873999,40.56500955256882,0.0,329.17599999999993,0.25,0.3457861161684935,0.44925181700712996,1.7323616158920108,0.005716338261560261,79.2298180179449,69.49845796178182,239.57752398753934,7.960527620704547,72.05361870666108,19.00770619557825,88.75138695485015,12.549619193067382,76.20176776178276,2,4,11,13.523148877223658,11.08382750497318,142.61367243230083,0.015000000000000568,0.006270270270278376,3206.0,881.1388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28T00:03:48.274,2026-05-28T00:03:49.522,slow_collapse_fall_slow_collapse_fall_20260528_000343_class_01.csv,ล้มแบบค่อยๆทรุด,1,original,slow_collapse_fall,fall,1.1705068760024688,0.6379249709923227,2.7323616158920108,0.4589117562233506,0.43975581150188625,11.054423729166066,10.777598948419504,40.56500955256882,0.0,309.8639999999999,0.2692307692307692,0.43975581150188625,0.49258064276826247,1.7323616158920108,0.027940331049580047,98.33519656197998,72.86001516212063,239.57752398753934,7.960527620704547,69.63160647591033,21.78086247787853,88.75138695485015,12.549619193067382,76.20176776178276,2,4,11,15.438812230120652,11.08382750497318,127.83575553057399,0.006000000000000227,0.007500854700893995,3206.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
