no,dataset,link
1,ชุดข้อมูลเหตุความรุนแรงในครอบครัว,https://www.thackle.or.th/th/dataset/84
2,สถิติการเกิดอัคคีภัยในประเทศไทย ปีพ.ศ. 2562 พร้อมข้อมูลความเสียหาย,https://www.thackle.or.th/th/dataset/26
3,รายได้เฉลี่ยของครัวเรือน,https://www.thackle.or.th/th/dataset/92
4,ชุดข้อมูลการนำเข้า–ส่งออกสินค้าประมงของประเทศไทย,https://www.thackle.or.th/th/dataset/93
5,การเดินทางของประชาชนด้วยระบบขนส่งสาธารณะ,https://www.thackle.or.th/th/dataset/94 
6,สถิติหน่วยจำหน่ายไฟฟ้าแยกตามเขต,https://www.thackle.or.th/th/dataset/97
